,score,dataset,time
0,1.0,kr-vs-kp,"(360,40)"
1,1.0,kr-vs-kp,"(360,40)"
2,1.0,kr-vs-kp,"(360,40)"
3,1.0,kr-vs-kp,"(360,40)"
4,0.99976363063347,kr-vs-kp,"(360,40)"
5,0.9997260381198388,kr-vs-kp,"(360,40)"
6,0.9992519095991812,kr-vs-kp,"(360,40)"
7,0.9981214042503228,kr-vs-kp,"(360,40)"
8,0.9980431294274196,kr-vs-kp,"(360,40)"
9,0.997814,riccardo,"(3600,900)"
10,0.9963756697132052,kr-vs-kp,"(360,40)"
11,0.9958771703882756,nomao,"(360,40)"
12,0.995784438255276,APSFailure,"(1800,450)"
13,0.995734761876457,nomao,"(360,40)"
14,0.99571270107667,nomao,"(360,40)"
15,0.9956575723352684,nomao,"(360,40)"
16,0.9955239990889556,nomao,"(360,40)"
17,0.9947804184581244,nomao,"(360,40)"
18,0.9947176761572653,nomao,"(360,40)"
19,0.9944991278602268,nomao,"(360,40)"
20,0.9944326617179216,APSFailure,"(1800,450)"
21,0.9943976874894332,nomao,"(360,40)"
22,0.9934076129761202,nomao,"(360,40)"
23,0.993324732915962,APSFailure,"(1800,450)"
24,0.9932367074159528,APSFailure,"(1800,450)"
25,0.9927650778210116,sylvine,"(1800,450)"
26,0.9911959726381784,APSFailure,"(1800,450)"
27,0.990753173828125,sylvine,"(1800,450)"
28,0.9906667210484814,APSFailure,"(1800,450)"
29,0.990317194998978,APSFailure,"(1800,450)"
30,0.9902191162109376,sylvine,"(1800,450)"
31,0.9900646366712114,APSFailure,"(1800,450)"
32,0.989990234375,sylvine,"(1800,450)"
33,0.9889938783155048,APSFailure,"(1800,450)"
34,0.9884180447470816,sylvine,"(1800,450)"
35,0.9883880615234376,sylvine,"(1800,450)"
36,0.9877419600931504,APSFailure,"(1800,450)"
37,0.9874566463832452,MiniBooNE,"(1800,450)"
38,0.9874263676667816,MiniBooNE,"(1800,450)"
39,0.9867002523716458,MiniBooNE,"(1800,450)"
40,0.9864790157367332,MiniBooNE,"(1800,450)"
41,0.986316375843446,MiniBooNE,"(1800,450)"
42,0.9860447602776324,MiniBooNE,"(1800,450)"
