,dataset,fold,roc_auc,accuracy,models
24,Amazon_employee_access,5,0.8658517040901573,0.9420201403722918,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='0ae503f8-d753-4307-aa55-58ca31a45a37')"
25,Amazon_employee_access,6,0.8667442415562717,0.9420201403722918,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='ada714e6-4b5b-48be-bc74-3d19200164ca')"
26,Amazon_employee_access,7,0.8655951102245408,0.9420201403722918,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='ac5f080d-e13e-4b7a-adeb-d41d74ecb4ab')"
27,Amazon_employee_access,8,0.8539801885666547,0.9420201403722918,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='a6a88225-25a8-4c27-9b20-7913af9bf9c0')"
28,Amazon_employee_access,9,0.8924829079501475,0.9420201403722918,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='8b5d4f33-f61f-4686-90c4-7fc0527d0ff4')"
29,Amazon_employee_access,10,0.882389539338033,0.9447496947496947,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='70d604bb-cf28-4fac-9737-0ffbd0fbed2f')"
30,phoneme,1,0.9548552800553196,0.8299445471349353,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='00fe81b0-007b-4a3f-a2ee-e48c7f998b86')"
31,phoneme,2,0.9635648193881918,0.9057301293900185,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='eff3555a-e834-42a7-bcee-baa67e637ddc')"
32,phoneme,3,0.9499983535842472,0.7966728280961183,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='50a1f3ec-5e6d-4db6-bcaf-4e4d5487664d')"
33,phoneme,4,0.9559913069248246,0.8817005545286506,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='00300cbd-ee87-40ea-b966-d8facbab132c')"
34,phoneme,5,0.9468321293657631,0.8851851851851852,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='fb07ad29-dc3f-46f3-874b-d78a8e579c27')"
35,phoneme,6,0.9627543243422361,0.9185185185185185,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='a37a58f5-c9ec-4878-9bbb-9cb293729632')"
36,phoneme,7,0.9769037046855326,0.8222222222222222,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='50e5e0c3-f298-4a80-853c-f856f54f0990')"
37,phoneme,8,0.9606004374047319,0.8962962962962963,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='75c38987-b3fb-4b27-b977-e3a1b66bc518')"
38,phoneme,9,0.9517819706498951,0.8777777777777778,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='8161a787-2276-43c4-8288-62b34f42a8b6')"
39,phoneme,10,0.9603823107017284,0.9074074074074074,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='6eeef76e-6fb1-490a-b976-2a631f4d711e')"
40,guillermo,1,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='61604158-3941-44f0-967b-72d75102d770')"
41,guillermo,2,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='947bc62f-8feb-4fa8-9773-7e44c2825add')"
42,guillermo,3,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='4b62e722-350a-46db-a416-0b3c93a26176')"
43,guillermo,4,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='805f75d4-2b09-4f83-8c3d-ef9ecb8b6114')"
44,guillermo,5,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='fadcf209-97cb-4bb9-ba42-18755f6bdd6c')"
45,guillermo,6,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='19e1d076-b639-4db7-bccf-2800871912cb')"
46,guillermo,7,0.5,0.6,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='972170c4-a8e4-4930-bd3b-89354a465382')"
47,guillermo,8,0.5,0.5995,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='b91b9dda-4d77-4c6e-b0c3-a05e6c8b3c9b')"
48,guillermo,9,0.5,0.5995,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='24d0b009-57cc-4ea1-b34e-3477fea4c809')"
49,guillermo,10,0.5,0.5995,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='ed15c900-dc70-44e4-a0ab-3d969c3cf224')"
50,Australian,1,0.9397283531409167,0.9130434782608695,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='589e948a-5398-4708-bd27-e3f55aba9236')"
51,Australian,2,0.9252971137521222,0.8695652173913043,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='cbca7fc7-9d4a-4132-b92f-0003ed2814db')"
52,Australian,3,0.9151103565365025,0.8115942028985508,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='7bfb1675-7285-4f84-bbf2-18da84fce18e')"
